"AAll" "entry1" "sub1" "altsearch" "altsub1" "id"
"91" "data analysis \& commentary! effort vs stool type ({\tt ergoStool}, {\itshape MEMSS}) " "ergoStool" NA NA NA 11
"92" "data analysis \& commentary! egg dimensions! host eggs vs cuckoo eggs ({\tt cuckoohosts})" "cuckoohosts" "eggs" NA NA 11
"93" "data analysis \& commentary! elastic bands, distance vs stretch ({\tt elastic1}, {\tt elastic2}, {\tt elasticband})" "elastic" "band" NA NA 11
"94" "data analysis \& commentary! electrical resistance of kiwifruit ({\tt fruitohms})" "electrical" "kiwifruit" NA NA 11
"95" "data analysis \& commentary! email spam ({\tt spam7})" "email" "spam" NA NA 11
"96" "data analysis \& commentary! Fisher's iris data ({\tt iris}, {\itshape MASS}) " "iris" NA NA NA 11
"97" "data analysis \& commentary! Food Frequency Questionnaire (FFQ)" "ffq" NA NA NA 11
"98" "data analysis \& commentary! frogs, spatial distribution ({\tt frogs})" "frogs" "example" NA NA 11
"99" "data analysis \& commentary! grain/head vs seed rate ({\tt seedrates})" "seedrates" NA NA NA 11
"100" "data analysis \& commentary! head injury, simulated ({\tt head.injury})" "head.injury" NA NA NA 11
"101" "data analysis \& commentary! heated vs unheated elastic bands, stretch! paired ({\tt pair65})" "pair65" NA NA NA 11
"102" "data analysis \& commentary! heated vs unheated elastic bands, stretch! unpaired ({\tt two65})" "two65" NA NA NA 11
"103" "data analysis \& commentary! height \& weight of women ({\tt women}, {\itshape datasets})" "women" NA NA NA 11
"104" "data analysis \& commentary! hill race times ({\tt nihills}, {\tt hills2000})" "nihills" NA "hills2000" NA 11
"105" "data analysis \& commentary! house prices ({\tt houseprices})" "house" "prices" NA NA 11
"106" "data analysis \& commentary! human power vs O$_2$ intake ({\tt humanpower1}, {\tt humanpower2})" "humanpower1" NA "humanpower2" NA 11
"106a" "data analysis \& commentary! hurricane death data ({\tt hurricNamed})" "hurricanes" "deaths" NA NA 11
"107" "data analysis \& commentary! insurance policy claims ({\tt  Insurance}, {\itshape MASS}) " "insurance" NA NA NA 11
"108" "data analysis \& commentary! iron slag, magnetic vs chemical values ({\tt ironslag})" "ironslag" "example" NA NA 11
"109" "data analysis \& commentary! jobs, by region of Canada ({\tt jobs})" "jobs" NA NA NA 11
"110" "data analysis \& commentary! kidney stone operations" "stones" "kidney" NA NA 11
"111" "data analysis \& commentary! kiwifruit shading ({\tt kiwishade})" "kiwifruit" "shading" NA NA 11
"112" "data analysis \& commentary! labor training program ({\tt nswdemo} \& related datasets)" "labor training" "example" NA NA 11
"113" "data analysis \& commentary! lake area \& elevation ({\tt Manitoba.lakes})" "manitoba" NA NA NA 11
"114" "data analysis \& commentary! levels of Lake Huron ({\tt LakeHuron}, {\itshape datasets})" "levels" "LakeHuron" NA NA 11
"115" "data analysis \& commentary! maths achievement scores ({\tt MathAchieve}, {\itshape MEMSS})" "MathAchieve" NA NA NA 11
"116" "data analysis \& commentary! measles, deaths in London ({\tt measles})" "measles" NA NA NA 11
"117" "data analysis \& commentary! milk sweetness by additive ({\tt milk})" "milk" NA NA NA 11
"118" "data analysis \& commentary! model cars ({\tt modelcars})" "model car" NA NA NA 11
"119" "data analysis \& commentary! mortality, female heart attacks ({\tt mifem})" "mortality" "mifem" NA NA 11
"120" "data analysis \& commentary! moths, occurrence ({\tt moths})" "moths" NA NA NA 11
"121" "data analysis \& commentary! oil platform escape times ({\tt escape}, {\itshape DAAG})" "escape" "oil" NA NA 11
"122" "data analysis \& commentary! ozone levels (Antarctic), 1956-2000 ({\tt ozone})" "ozone" NA NA NA 11
"123" "data analysis \& commentary! plant architecture \& leafshape ({\tt leafshape})" "leafshape" NA NA NA 11
"124" "data analysis \& commentary! population growth! Australian states ({\tt austpop})" "austpop" NA NA NA 11
"125" "data analysis \& commentary! possums, morphometric data ({\tt possum})" "possum" "morphometric" NA NA 11
"126" "data analysis \& commentary! pressure of mercury vapour, vs temp ({\tt pressure}, {\itshape datasets})" "pressure" NA NA NA 11
"127" "data analysis \& commentary! primate body \& brain weights ({\tt primates}) " "primates" NA NA NA 11
"128" "data analysis \& commentary! rare plants \& habitat type ({\tt rareplants})" "rareplants" "species" NA NA 11
"129" "data analysis \& commentary! rice variety 2-factor expt ({\tt rice})" "rice" "wild" NA NA 11
"130" "data analysis \& commentary! road accident mortality in US ({\tt nassCDS})" "airbags" NA NA NA 11
"131" "data analysis \& commentary! science, school survey ({\tt science})" "science" "survey" NA NA 11
"132" "data analysis \& commentary! seal growth (cross-sectional data) ({\tt cfseal})" "seals" "trawl" NA NA 11
"133" "data analysis \& commentary! selfed vs crossed plants ({\tt mignonette}, Darwin's data)" "crossed" "plants" NA NA 11
"134" "data analysis \& commentary! skull growth in children ({\tt Orthodont}, {\itshape MEMSS})" "Orthodont" NA NA NA 11
"135" "data analysis \& commentary! social support student survey ({\tt socsupport})" "socsupport" NA NA NA 11
"137" "data analysis \& commentary! space shuttle damage ({\tt orings})" "orings" "challenger" NA NA 11
"138" "data analysis \& commentary! sugar weight, wild type vs GM plants ({\tt sugar})" "sugar" "contrasts" NA NA 11
"139" "data analysis \& commentary! thickness of geological substratum, vs distance ({\tt geophones})" "geophones" NA NA NA 11
"140" "data analysis \& commentary! tinting of car windows ({\tt tinting})" "tinting" "windows" NA NA 11
"141" "data analysis \& commentary! tomato yield vs salinity ({tomatoes}, {\itshape DAAG}) " "salinity" "electrical" NA NA 11
"142" "data analysis \& commentary! track \& road record times ({worldRecords})" "worldRecords" NA NA NA 11
"143" "data analysis \& commentary! tree dimensions \& biomass ({\tt rainforest})" "rainforest" NA NA NA 11
"144" "data analysis \& commentary! UCB admissions, by sex \& dept ({\tt UCBAdmissions}, datasets)" "UCBAdmissions" NA NA NA 11
"145" "data analysis \& commentary! wage comparison, 19th C UK cottonworkers ({\tt cottonworker})" "cottonworkers" NA NA NA 11
"146" "data analysis \& commentary! wages, UK 19$^{th}$ C cotton workers ({\tt cottonworker}, {\tt wages1833})" "wages" "cotton" "cottonworkers" NA 11
"147" "data frame" "zzzz" NA NA NA 11
"148" "data frame! as database" "data frame" "database" NA NA 11
"149" "data frame! as list" "data frame" "list" NA NA 11
"150" "data frame! attach \& detach" "data frame" "attach" NA NA 11
"151" "data frame! column \& row names" "data frame" "dimnames" NA NA 11
"152" "data frame! convert to/from tables or matrices" "data frame" "as.data.frame.table()" NA NA 11
"153" "data frame! joining (cbind, rbind)" "data frame" "cbind" NA NA 11
"154" "data frame! merging" "data frame" "merge" NA NA 11
"155" "data frame! omit rows with NAs" "data frame" "na.omit" NA NA 11
"156" "data frame! reshape" "data frame" "reshape" "stack" NA 11
"157" "data frame! split to list" "data frame" "split" NA NA 11
"158" "data frame! transpose" "frame" "transposes" NA NA 11
"159" "data frame! writing" "data frame" "output" NA NA 11
"160" "data mining" "data mining" NA NA NA 11
"161" "data! database connection" "database" "connections" NA NA 11
"162" "data! input" "data input" NA NA NA 11
"163" "data! input! comment character" "input" "comment" NA NA 11
"164" "data! input! tracking errors" "data input" "tracking errors" NA NA 11
"165" "data! management strategies" "data" "management" NA NA 11
"166" "data! measurement issues" "data" "measurement" NA NA 11
"167" "data! output" "data output" NA NA NA 11
"168" "data! summary" "data summary" NA NA NA 11
"169" "data!patterned" "data" "patterned" NA NA 11
"170" "dates" "dates" "as.date" NA NA 11
"171" "degrees of freedom" "degrees" "freedom" NA NA 11
"172" "density! estimate" "density" "estimate" NA NA 11
"173" "density! estimate! plot, {\itshape} plot" "zzzz" NA NA NA 11
"174" "designed experiment" "design" "experiment" NA NA 11
"175" "deviance| see {model}" "zzzz" NA NA NA 11
"176" "discriminant analysis! linear" "discriminant" "lda" NA NA 11
"177" "distance measure" "distance measure" NA NA NA 11
"178" "distance measure! binary data" "distance measure" "binary data" NA NA 11
"179" "distribution! $t$-distribution" "distribution" "t-distribution" NA NA 11
"180" "distribution! $t$-distribution! degrees of freedom" "distribution" "t-distribution" NA NA 11
"180a" "distribution! betabinomial" "distribution" "betabinomial" NA NA 11
"181" "distribution! binomial" "distribution" "binomial" NA NA 11
"182" "distribution! chi-squared" "distribution" "chi-squared" NA NA 11
"183" "distribution! cumulative probability" "distribution" "cumulative" NA NA 11
"184" "distribution! density" "distribution" "density" NA NA 11
"185" "distribution! exponential" "distribution" "exponential" NA NA 11
"186" "distribution! heavy-tailed" "distribution" "heavy-tailed" NA NA 11
"187" "distribution! normal" "distribution" "normal" NA NA 11
"188" "distribution! percentile" "distribution" "percentile" NA NA 11
"189" "distribution! Poisson" "distribution" "poisson" NA NA 11
"190" "distribution! quantile" "distribution" "quantile" NA NA 11
"191" "distribution! sampling distribution" "sampling distribution" NA NA NA 11
"192" "distribution! sampling distribution! $t$-statistic" "t-distribution" "sampling" NA NA 11
"193" "distribution! sampling distribution! bootstrap estimate" "sampling distribution" "bootstrap" NA NA 11
"194" "distribution! sampling distribution! median" "sampling distribution" "median" NA NA 11
"195" "distribution! simulation" "distribution" "simulation" NA NA 11
"196" "distribution! skew" "distribution" "skew" NA NA 11
"197" "distribution! uniform" "distribution" "uniform" NA NA 11
"198" "document preparation! Sweave" "Sweave" NA NA NA 11
"199" "exploratory data analysis (EDA)" "exploratory data analysis" NA "eda" NA 11
"200" "expression! evaluate" "expression" "evaluate" NA NA 11
"201" "expression! print on graph" "expression" "plotmath" NA NA 11
"202" "factor" "factor" "levels" NA NA 11
"203" "factor! coding \& contrasts" "factor" "coding" NA NA 11
"204" "factor! columns in model matrix" "model.matrix" "column" "model.matrix" "factor" 11
"205" "factor! contrasts" "factor" "contrasts" NA NA 11
"206" "factor! in model formula" "factor" "model formula" NA NA 11
"207" "factor! levels" "factor levels" NA NA NA 11
"208" "factor! levels! order " "factor levels" "order" NA NA 11
"209" "factor! ordered" "factor" "ordered()" NA NA 11
"210" "factor! reordering levels" "factor" "relevel()" NA NA 11
"211" "factor! splitting by levels" "factor" "splitting" NA NA 11
"212" "file names" "file" "name" NA NA 11
"213" "fixed effects| see {multi-level model}" "zzzz" NA NA NA 11
"214" "function" "function" "create" NA NA 11
"215" "function! anonymous" "function" "anonymous" NA NA 11
"216" "function! argument" "function" "function arguments" NA NA 11
"217" "function! argument! abbreviated" "argument" "abbreviated" NA NA 11
"218" "function! argument! lazy evaluation" "argument" "lazy evaluation" NA NA 11
"219" "function! argument! pass via list" "list" "function arguments" NA NA 11
"220" "function! argument! the \texttt{\ldots} argument" "function" "named arguments" NA NA 11
"221" "function! common useful functions" "function" "common" NA NA 11
"222" "function! environment" "function" "environment" NA NA 11
"223" "function! environment! evaluation frame" "environment" "frame" NA NA 11
"224" "function! generic" "function" "generic" NA NA 11
"225" "function! issues for writing \& use" "function" "issues" NA NA 11
"226" "function! return value" "function" "return" NA NA 11
"227" "function! utility functions" "function" "utility" NA NA 11
"424" "generalized additive model" "regression" "generalized additive" NA NA 11
"227a" "generalized linear model| seealso{regression}" "zzzz" NA NA NA 11
"440" "generalized linear model! design" "generalized linear" "design" "glm" NA 11
"441" "generalized linear model! deviance" "generalized linear" "deviance" "glm" NA 11
"442" "generalized linear model! deviance! deviance residuals" "generalized linear" "deviance" "glm" NA 11
"443" "generalized linear model! dispersion" "generalized linear" "dispersion" "glm" NA 11
"444" "generalized linear model! family" "generalized linear" "family" "glm" NA 11
"445" "generalized linear model! family! betabinomial" "generalized linear" "family" "glm" NA 11
"445a" "generalized linear model! family! binomial" "generalized linear" "family" "glm" NA 11
"445b" "generalized linear model! family! negative binomial" "negative binomial" "family" NA NA 11
"446" "generalized linear model! family! poisson" "generalized linear" "family" "glm" NA 11
"447" "generalized linear model! family! quasibinomial" "generalized linear" "family" "glm" NA 11
"448" "generalized linear model! family! quasipoisson" "generalized linear" "family" "glm" NA 11
"449" "generalized linear model! leverage" "generalized linear" "leverage" "glm" NA 11
"450" "generalized linear model! linear predictor" "generalized linear" "linear" "glm" NA 11
"451" "generalized linear model! link function" "generalized linear" "link" "glm" NA 11
"452" "generalized linear model! logistic regression" "generalized linear" "logistic" "glm" NA 11
"453" "generalized linear model! predicted values,! linear predictor" "generalized linear" "predicted" "glm" NA 11
"454" "generalized linear model! predicted values,! response" "generalized linear" "predicted" "glm" NA 11
"455" "generalized linear model! residuals! deviance" "generalized linear" "residuals" "deviance" NA 11
"456" "generalized linear model! residuals! Pearson" "generalized linear" "residuals" "Pearson" NA 11
"457" "generalized linear model! residuals! working" "generalized linear" "residuals" "working" NA 11
"458" "generalized linear model! SEs \& Wald ($z-$) statistics for coefficients" "generalized linear" "ses" "glm" NA 11
"459" "generalized linear model! SEs \& Wald ($z-$) statistics for coefficients! Hauck-Donner effect" "generalized linear" "ses" "glm" NA 11
"228" "generalized linear mixed model" "glmm" NA NA NA 11
"229" "ggplot2 graphics" "ggplot2" NA NA NA 11
"230" "ggplot2 graphics! use of quickplot()" "quickplot()" NA NA NA 11
"231" "graph!{\itshape see} plot" "zzzz" NA NA NA 11
"370" "graphics! aspect ratio" "plot" "aspect" NA NA 11
"373" "graphics! box-\&-whisker! outlier criterion" "outlier" "boxplot" NA NA 11
"375" "graphics! contour" "plot" "contour" NA NA 11
"376" "graphics! dates as axis labels" "axis" "dates" NA NA 11
"377" "graphics! expression" "plot" "plotmath" NA NA 11
"378" "graphics! font family" "font family" NA NA NA 11
"379" "graphics! font family! face" "font family" "face" NA NA 11
"380" "graphics! histogram" "plot" "histogram" NA NA 11
"387" "graphics! quantile-quantile (QQ)" "quantile-quantile" NA NA NA 11
"389" "graphics! simulated data" "plot" "simulated" NA NA 11
"393" "graphics! transformation of scales" "plot" "transformation" NA NA 11
"232" "graphics| seealso{ggplot2, larttice}" "zzzz" NA NA NA 11
"234" "graphics! devices" "graphics" "device" NA NA 11
"235" "graphics! good practice" "graphs" "good" NA NA 11
"371" "graphics (base graphics)! axes" "plot" "axes" NA NA 11
"381" "graphics (base graphics)! identifying points" "plot" "identifying" NA NA 11
"382" "graphics (base graphics)! interaction plot" "plot" "interaction" NA NA 11
"383" "graphics (base graphics)! legend" "plot" "legend" NA NA 11
"384" "graphics (base graphics)! mosaic plot (multi-way tables)" "plot" "mosaic" NA NA 11
"385" "graphics (base graphics)! normal probability" "plot" "normal probability" NA NA 11
"386" "graphics (base graphics)! panel function" "panel function" NA NA NA 11
"388" "graphics (base graphics)! shaded regions" "plot" "shaded" NA NA 11
"390" "graphics (base graphics)! size of points \& text" "plot" "cex" NA NA 11
"391" "graphics (base graphics)! stem-\&-leaf" "plot" "stem-and-leaf" NA NA 11
"237" "image file| see {R session}" "zzzz" NA NA NA 11
"238" "inference" "inference" NA NA NA 11
"239" "inference! 1 \& 2-sample means" "inference" "mean" NA NA 11
"240" "inference! Bayesian" "inference" "bayesian" NA NA 11
"241" "inference! Bayesian! MCMC simulation" "Bayesian" "MCMC" NA NA 11
"242" "inference! bootstrap methods| see {resampling methods}" "zzzz" NA NA NA 11
"243" "inference! confidence interval| see {confidence interval}" "zzzz" NA NA NA 11
"244" "inference! confidence intervals vs hypothesis tests" "confidence interval" "hypothesis" NA NA 11
"245" "inference! degrees of freedom issues" "inference" "degrees of freedom" NA NA 11
"246" "inference! hypothesis testing" "inference" "hypothesis" NA NA 11
"247" "inference! likelihood ratio test" "likelihood" "ratio" NA NA 11
"248" "inference! maximum likelihood" "inference" "maximum likelihood" NA NA 11
"249" "inference! multiple comparison" "multiple" "comparison" NA NA 11
"250" "inference! multiple comparison! Tukey's HSD" "HSD" NA NA NA 11
"251" "information criteria! Akaike Information Criterion (AIC)" "Akaike" NA "AIC" NA 11
"252" "information criteria! Bayesian Information Criterion (BIC)" "Bayesian Information Criterion" NA "BIC" NA 11
"253" "information criteria! Cp statistic (Mallows)" "Mallows" NA NA NA 11
"254" "interaction plot" "interaction.plot" NA NA NA 11
"255" "lattice graphics" "Lattice" NA "lattice" NA 11
"256" "lattice graphics! add smooth curve" "lattice" "smooth" NA NA 11
"257" "lattice graphics! adding to plots" "lattice" "layer" NA NA 11
"258" "lattice graphics! box plot" "lattice" "bwplot" NA NA 11
"259" "lattice graphics! built on grid package" "lattice" "grid" NA NA 11
"260" "lattice graphics! conditioning factor or variable" "lattice" "conditioning" NA NA 11
"261" "lattice graphics! dotplot" "dotplot()" NA NA NA 11
"262" "lattice graphics! interaction with plots" "lattice" "interaction" NA NA 11
"263" "lattice graphics! keys \& legends" "lattice" "key" "lattice" "legend" 11
"264" "lattice graphics! layout of panels" "lattice" "layout" NA NA 11
"265" "lattice graphics! panel function" "lattice" "panel function" NA NA 11
"266" "lattice graphics! par.settings" "lattice" "parameter settings" NA NA 11
"267" "lattice graphics! point \& text size" "lattice" "point" NA NA 11
"268" "lattice graphics! printing from user functions" "lattice" "printing" NA NA 11
"269" "lattice graphics! scaling of axes" "lattice" "scale" NA NA 11
"270" "lattice graphics! strip plot" "lattice" "stripplot" NA NA 11
"271" "library" "library" "command" NA NA 11
"272" "library| seealso{package}" "zzzz" NA NA NA 11
"460" "linear model (lm)" "linear model" NA NA NA 11
"461" "linear model (lm)! anova $F$-test" "linear model" "anova" NA NA 11
"462" "linear model (lm)! anova table" "linear model" "anova" NA NA 11
"463" "linear model (lm)! assumptions" "linear model" "assumptions" NA NA 11
"464" "linear model (lm)! bootstrap| see {resampling methods}" "zzzz" NA NA NA 11
"465" "linear model (lm)! check for linearity" "linear model" "check" NA NA 11
"471" "linear model (lm)! confusion between $x$ \& $y$" "regression" "confusion" NA NA 11
"472" "linear model (lm)! Cook's distance" "distance" "cook's" NA NA 11
"473" "linear model (lm)! cross-validation| see {resampling methods}" "zzzz" NA NA NA 11
"474" "linear model (lm)! design" "linear model" "design" NA NA 11
"475" "linear model (lm)! diagnostic plots! residuals vs leverage" "linear model" "diagnostic" NA NA 11
"476" "linear model (lm)! diagnostics" "linear model" "diagnostics" NA NA 11
"477" "linear model (lm)! errors in $x$| see {regression}" "zzzz" NA NA NA 11
"478" "linear model (lm)! explanatory variables! relationships" "linear model" "explanatory" NA NA 11
"479" "linear model (lm)! fitted values| see {predicted values}" "zzzz" NA NA NA 11
"480" "linear model (lm)! hat matrix" "linear model" "hat" NA NA 11
"481" "linear model (lm)! heterogeneity of variance" "heterogeneity" "variance" NA NA 11
"483" "linear model (lm)! influence \& leverage" "linear model" "leverage" NA NA 11
"484" "linear model (lm)! model formula" "lm" "model formulae" NA "model formula" 11
"485" "linear model (lm)! model matrix" "linear model" "model matrix" NA NA 11
"486" "linear model (lm)! model matrix! one term; several columns" "model matrix" "term" NA NA 11
"487" "linear model (lm)! modeling non-linear responses" "non-linear" NA NA NA 11
"488" "linear model (lm)! multicollinearity" "multicollinearity" NA NA NA 11
"489" "linear model (lm)! multicollinearity! remedies" "remedies" "multicollinearity" NA NA 11
"490" "linear model (lm)! multicollinearity! variance inflation factor (VIF)" "VIF" NA NA NA 11
"491" "linear model (lm)! omission of intercept" "intercept" "omission" NA NA 11
"492" "linear model (lm)! on principal component scores" "regression" "principal components" NA NA 11
"493" "linear model (lm)! on propensity scores" "propensity scores" NA NA NA 11
"495" "linear model (lm)! outliers| see {regression, outliers}" "zzzz" NA NA NA 11
"496" "linear model (lm)! predicted values! confidence intervals" "predicted" "confidence interval" NA NA 11
"497" "linear model (lm)! predicted values! validity of SE estimates" "linear model" "predicted" NA NA 11
"498" "linear model (lm)! prediction interval (new $y$-value)" "linear model" "prediction" NA NA 11
"499" "linear model (lm)! R$^2$ \& adjusted R$^2$" "variance" "explained" NA NA 11
"500" "linear model (lm)! regression spline| see {regression}" "zzzz" NA NA NA 11
"501" "linear model (lm)! residual degrees of freedom" "residual degrees" NA NA NA 11
"502" "linear model (lm)! residual SE! degrees of freedom" "linear model" "residual" NA NA 11
"503" "linear model (lm)! residuals| see {regression}" "zzzz" NA NA NA 11
"504" "linear model (lm)! robust \& resistant methods| see {regression}" "zzzz" NA NA NA 11
"505" "linear model (lm)! shrinkage methods" "regression" "shrinkage" NA NA 11
"506" "linear model (lm)! straight line model" "linear model" "straight" NA NA 11
"507" "linear model (lm)! straight line model! fitted values" "linear model" "straight" NA NA 11
"508" "linear model (lm)! straight line model! residual" "linear model" "straight" NA NA 11
"510" "linear model (lm)! strategies for fitting models| see {regression}" "zzzz" NA NA NA 11
"511" "linear model (lm)! term plots" "termplot" NA NA NA 11
"512" "linear model (lm)! terms" "linear model" "terms" NA NA 11
